Year,Week,Day,Date,Status,OT,Rec,Away,Opp,TmScore,OppScore,Tm1stD,TmTotYd,TmPassY,TmRushY,TmTO,Opp1stD,OppTotYd,OppPassY,OppRushY,OppTO,ABRV
2012,1,Sun,September 9,L,,0-1,@,New York Jets,28,48,20,390,195,195,4,21,384,266,118,1,nyj
2012,3,Sun,September 23,W,,2-1,@,Cleveland Browns,24,14,19,344,206,138,1,17,240,207,33,2,cle
2012,5,Sun,October 7,L,,2-3,@,San Francisco 49ers,3,45,10,204,115,89,2,29,621,310,311,1,sf
2012,6,Sun,October 14,W,OT,3-3,@,Arizona Cardinals,19,16,19,306,141,165,2,20,332,150,182,2,ari
2012,9,Sun,November 4,L,,3-5,@,Houston Texans,9,21,17,304,230,74,1,21,374,256,118,,hou
2012,10,Sun,November 11,L,,3-6,@,New England Patriots,31,37,35,481,319,162,3,27,347,230,117,,ne
2012,12,Sun,November 25,L,,4-7,@,Indianapolis Colts,13,20,16,304,169,135,1,22,312,225,87,2,ind
2012,16,Sun,December 23,L,,5-10,@,Miami Dolphins,10,24,17,381,227,154,4,18,301,119,182,,mia
2013,3,Sun,September 22,L,,1-2,@,New York Jets,20,27,18,328,208,120,,20,513,331,182,2,nyj
2013,5,Thu,October 3,L,,2-3,@,Cleveland Browns,24,37,20,343,188,155,1,19,290,199,91,,cle
2013,7,Sun,October 20,W,,3-4,@,Miami Dolphins,23,21,15,268,178,90,1,19,293,173,120,3,mia
2013,8,Sun,October 27,L,,3-5,@,New Orleans Saints,17,35,20,299,211,88,3,21,386,309,77,,no
2013,10,Sun,November 10,L,,3-7,@,Pittsburgh Steelers,10,23,16,227,132,95,1,19,300,164,136,1,pit
2013,14,Sun,December 8,L,,4-9,@,Tampa Bay Buccaneers,6,27,14,214,147,67,5,13,246,81,165,2,tb
2013,15,Sun,December 15,W,,5-9,@,Jacksonville Jaguars,27,20,25,366,168,198,2,22,354,195,159,4,jac
2013,17,Sun,December 29,L,,6-10,@,New England Patriots,20,34,19,393,224,169,,24,382,115,267,1,ne
2011,1,Sun,September 11,W,,1-0,@,Kansas City Chiefs,41,7,23,364,201,163,1,13,213,105,108,3,kc
2011,4,Sun,October 2,L,,3-1,@,Cincinnati Bengals,20,23,12,273,190,83,,25,458,287,171,2,cin
2011,6,Sun,October 16,L,,4-2,@,New York Giants,24,27,17,374,219,155,2,24,414,292,122,,nyg
2011,10,Sun,November 13,L,,5-4,@,Dallas Cowboys,7,44,20,271,136,135,4,24,433,270,163,,dal
2011,11,Sun,November 20,L,,5-5,@,Miami Dolphins,8,35,14,245,204,41,2,16,242,147,95,,mia
2011,12,Sun,November 27,L,,5-6,@,New York Jets,24,28,21,336,250,86,,20,318,180,138,2,nyj
2011,14,Sun,December 11,L,,5-8,@,San Diego Chargers,10,37,17,281,185,96,3,23,366,216,150,1,sd
2011,17,Sun,January 1,L,,6-10,@,New England Patriots,21,49,26,402,296,106,4,28,480,342,138,1,ne
2010,2,Sun,September 19,L,,0-2,@,Green Bay Packers,7,34,14,186,62,124,2,18,346,255,91,,gb
2010,3,Sun,September 26,L,,0-3,@,New England Patriots,30,38,19,374,240,134,2,25,445,245,200,1,ne
2010,7,Sun,October 24,L,OT,0-6,@,Baltimore Ravens,34,37,27,514,382,132,4,21,364,229,135,2,bal
2010,8,Sun,October 31,L,OT,0-7,@,Kansas City Chiefs,10,13,23,328,191,137,1,24,414,140,274,,kc
2010,11,Sun,November 21,W,,2-8,@,Cincinnati Bengals,49,31,23,449,308,141,2,26,361,228,133,3,cin
